Формулировка на естественном языке (русский),Формулировка на естественном языке (английский),Запись на формальном языке,Код Lean 4 + Mathlib,Ключевые слова (русский / английский),Тип утверждения,Источник
"О мультипликативном представлении билинейных операторов 359 Пусть B — полная булева алгебра порядковых проекторов расширенного пространства Канторовича G. Тогда G изоморфен спуску R↓поля вещественных чисел R в булевозначной модели теории множеств V(B) [21, теорема 10.3.4]. На этом основании можно считать, что G = R↓.","О мультипликативном представлении билинейных операторов 359 Пусть B — полная булева algebra порядковых проекторов расширенного пространства Канторовича G. Тогда G изоморфен спуску R↓fields вещественных чисел R в булевозначной модели теории множеств V(B) [21, Theorem 10.3.4]. На этом основании можно считать, что G = R↓.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0011 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм; поле,ISOMORPH,elibrary_12945099_81362740.txt
"Эквивалентно, она является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ для всех v, w ∈V . Если V = Rn с его обычным скалярным произведением, назовем его клиффордовой алгеброй Cliﬀ(n). Конкретно, это ассоциативная алгебра, свободно порожденная n антикоммутирующими квадратными корнями из −1.","Эквивалентно, она is ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ for all v, w ∈V . if V = Rn с его обычным скалярным произведением, назовем его клиффордовой алгеброй Cliﬀ(n). Конкретно, это ассоциативная algebra, свободно порожденная n антикоммутирующими квадратными корнями из −1.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0012 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; модуль,ISOMORPH,elibrary_13294250_28611886.txt
"Задав алгебру, мы будем свободно считать действительные числа элементами этой алгебры посредством отображения α 7→α1. Алгебра A является алгеброй с делением, если даны a, b ∈A с ab = 0, тогда либо a = 0, либо b = 0. Эквивалентно, A есть алгебра с делением, если операции левого и правого умножения на любой ненулевой элемент являются обратимыми.","Задав алгебру, мы будем свободно считать действительные числа элементами этой algebras посредством отображения α 7→α1. algebra A is алгеброй с делением, if даны a, b ∈A с ab = 0, тогда либо a = 0, либо b = 0. Эквивалентно, A есть algebra с делением, if операции левого и правого умножения на любой ненулевой элемент являются обратимыми.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0013 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра,ISOMORPH,elibrary_13294250_28611886.txt
"Октонионы пространство V с действительным скалярным произведением, клиффордова алгебра Cliﬀ(V ) является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений v2 = −∥v∥2 для всех v ∈V . Эквивалентно, она является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ для всех v, w ∈V . Если V = Rn с его обычным скалярным произведением, назовем его клиффордовой алгеброй Cliﬀ(n).","Октонионы пространство V с действительным скалярным произведением, клиффордова algebra Cliﬀ(V ) is ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений v2 = −∥v∥2 for all v ∈V . Эквивалентно, она is ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ for all v, w ∈V . if V = Rn с его обычным скалярным произведением, назовем его клиффордовой алгеброй Cliﬀ(n).","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0014 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; модуль,ISOMORPH,elibrary_13294250_28611886.txt
"Любой октонион e1, квадрат которого равен −1, порождает подалгебру O, изоморфную C. Если мы затем выберем любой октонион e2, квадрат которого равен −1 и который антикоммутирует с e1, элементы e1, e2 порождают подалгебру, изоморфную H. Наконец, если мы выберем октонион e3, квадрат которого равен −1 и который антикоммутирует с e1, e2 и e1e2, то элементы e1, e2, e3 порождают всю O.","Любой октонион e1, квадрат которого равен −1, порождает подалгебру O, изоморфную C. if мы затем выберем любой октонион e2, квадрат которого равен −1 и который антикоммутирует с e1, элементы e1, e2 порождают подалгебру, изоморфную H. Наконец, if мы выберем октонион e3, квадрат которого равен −1 и который антикоммутирует с e1, e2 и e1e2, then элементы e1, e2, e3 порождают всю O.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0015 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",изоморфизм,ISOMORPH,elibrary_13294250_28611886.txt
"Они называются спинорами – но мы предупреждаем читателя, что этот термин уже используется для обозначения многих незначительно различающихся разновидностей этого понятия. На самом деле, существует изоморфизм φ: Cliﬀ(n −1) →Cliﬀ0(n), заданный следующим образом: φ(ei) = eien, 1 ≤i ≤n −1, где {ei} – ортонормированный базис в Rn. Таким образом, спиноры в n измерениях – это то же самое, что и пиноры в n −1 измерениях!","Они называются спинорами – но мы предупреждаем читателя, что этот термин уже используется для обозначения многих незначительно различающихся разновидностей этого понятия. На самом деле, there exists isomorphism φ: Cliﬀ(n −1) →Cliﬀ0(n), заданный следующим образом: φ(ei) = eien, 1 ≤i ≤n −1, где {ei} – ортонормированный базис в Rn. Таким образом, спиноры в n измерениях – это then же самое, что и пиноры в n −1 измерениях!","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0016 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",изоморфизм,ISOMORPH,elibrary_13294250_28611886.txt
"Можно проверить, что это – гомоморфизм на, и его ядро состоит из матриц ±1. Таким образом, если мы определим PSL(2, K) = SL(2, K)/{±1}, то получим изоморфизмы PSL(2, R) ∼= SO0(2, 1) PSL(2, C) ∼= SO0(3, 1) PSL(2, H) ∼= SO0(6, 1) PSL(2, O) ∼= SO0(9, 1). Объединяя это вместе с нашими предыдущими рассуждениями, получим, что PSL(2, K) действует как конформные преобразования KP1.","Можно проверить, что это – homomorphism на, и его ядро состоит из матриц ±1. Таким образом, if мы определим PSL(2, K) = SL(2, K)/{±1}, then получим изоморфизмы PSL(2, R) ∼= SO0(2, 1) PSL(2, C) ∼= SO0(3, 1) PSL(2, H) ∼= SO0(6, 1) PSL(2, O) ∼= SO0(9, 1). Объединяя это вместе с нашими предыдущими рассуждениями, получим, что PSL(2, K) действует как конформные преобразования KP1.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0017 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",гомоморфизм; изоморфизм,ISOMORPH,elibrary_13294250_28611886.txt
"Скобка элемента u(1) и элемента S10 является другим элементом S10, определённым посредством очевидного действия u(1) на этом комплексном пространстве. Если мы определим E6 как односвязную группу с алгеброй Ли e6, из результатов Адамса следует, что подгруппа, порождённая подалгеброй Ли so(10)⊕u(1) изоморфна (Spin(10)×U(1))/Z4. Это позволяет определить биоктонионную проективную плоскость посредством (C ⊗O)P2 = E6 / ((Spin(10) × U(1))/Z4) и сделать вывод, что касательная плоскость в любой точке этого многообразия изоморфна S10 ∼= (C ⊗O)2.","Скобка элемента u(1) и элемента S10 is другим элементом S10, определённым посредством очевидного действия u(1) на этом комплексном пространстве. if мы определим E6 как односвязную group с алгеброй Ли e6, из результатов Адамса следует, что subgroup, порождённая подалгеброй Ли so(10)⊕u(1) is isomorphic (Spin(10)×U(1))/Z4. Это позволяет определить биоктонионную проективную плоскость посредством (C ⊗O)P2 = E6 / ((Spin(10) × U(1))/Z4) и сделать вывод, что касательная плоскость в любой точке этого многообразия is isomorphic S10 ∼= (C ⊗O)2.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0018 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; группа; действие; изоморфизм; подгруппа,ISOMORPH,elibrary_13294250_28611886.txt
"Скобки элемента sp(1) и элемента S+ 12 являются элементом S+ 12, определённым с использованием естественного действия sp(1) в этом пространстве. Если принять, что E7 – односвязная группа с алгеброй Ли e7, из результата Адамса [2] следует, что подгруппа, порождённая подалгеброй Ли so(12)⊕sp(1), изоморфна (Spin(12)×Sp(1))/Z2. Это позволяет определить кватероктонионную проективную плоскость посредством (H ⊗O)P2 = E7 / ((Spin(12) × Sp(1))/Z2) и сделать вывод, что касательная плоскость в любой точке этого многообразия изоморфна S+ 12 ∼= (H⊗O)2.","Скобки элемента sp(1) и элемента S+ 12 являются элементом S+ 12, определённым с использованием естественного действия sp(1) в этом пространстве. if принять, что E7 – односвязная group с алгеброй Ли e7, из результата Адамса [2] следует, что subgroup, порождённая подалгеброй Ли so(12)⊕sp(1), is isomorphic (Spin(12)×Sp(1))/Z2. Это позволяет определить кватероктонионную проективную плоскость посредством (H ⊗O)P2 = E7 / ((Spin(12) × Sp(1))/Z2) и сделать вывод, что касательная плоскость в любой точке этого многообразия is isomorphic S+ 12 ∼= (H⊗O)2.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0019 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; группа; действие; изоморфизм; подгруппа,ISOMORPH,elibrary_13294250_28611886.txt
"2.3 Клиффордовы Алгебры Уильям Клиффорд изобрел свои алгебры в 1876 в качестве попытки обобщить кватернионы на высшие размерности, опубликовав работу о них двумя годами позже [23]. Октонионы пространство V с действительным скалярным произведением, клиффордова алгебра Cliﬀ(V ) является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений v2 = −∥v∥2 для всех v ∈V . Эквивалентно, она является ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ для всех v, w ∈V .","2.3 Клиффордовы algebras Уильям Клиффорд изобрел свои algebras в 1876 в качестве попытки обобщить кватернионы на высшие размерности, опубликовав работу о них двумя годами позже [23]. Октонионы пространство V с действительным скалярным произведением, клиффордова algebra Cliﬀ(V ) is ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений v2 = −∥v∥2 for all v ∈V . Эквивалентно, она is ассоциативной алгеброй, свободно порожденной посредством V по модулю соотношений vw + wv = −2⟨v, w⟩ for all v, w ∈V .","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0020 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; модуль,ISOMORPH,elibrary_13294250_28611886.txt
"Это означает, что мы определяем ""прямую"" как класс эквивалентности элементов p × q ∈h3(O)∗, где снова два элемента полагаются эквивалентными, если один является ненулевым действительным кратным другого. Фройденталь показал, что мы получим проективную плоскость, изоморфную OP2, если мы возьмём эти наши определения точек и прямых и постановим, что точка [p] лежит на прямой [L] тогда и только тогда, когда L(p) = 0. Заметим, что это уравнение имеет смысл, даже несмотря на то, что L и p определены лишь с точностью до ненулевых действительных множителей.","Это означает, что мы определяем ""прямую"" как класс эквивалентности элементов p × q ∈h3(O)∗, где снова два элемента полагаются эквивалентными, if один is ненулевым действительным кратным другого. Фройденталь показал, что мы получим проективную плоскость, изоморфную OP2, if мы возьмём эти наши определения точек и прямых и постановим, что точка [p] лежит на прямой [L] тогда и только тогда, когда L(p) = 0. Заметим, что это уравнение has смысл, даже несмотря на then, что L и p определены лишь с точностью до ненулевых действительных множителей.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0021 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",изоморфизм,ISOMORPH,elibrary_13294250_28611886.txt
"Тогда йорданова алгебра h2(K) скрытым образом является также спиновым множителем! Существует изоморфизм φ: h2(K) →J(K ⊕R) ∼= K ⊕R ⊕R, заданный соотношением φ Ã α + β x x∗ α −β ! = (x, β, α), x ∈K, α, β ∈R. (6) Более того, определитель матриц из h2(K) хорошо определён даже тогда, когда K не коммутативна или не ассоциативна: det Ã α + β x x∗ α −β ! = α2 −β2 −∥x∥2, и мы, очевидно, имеем det(a) = −φ(a) · φ(a) для всех a ∈h2(K). Эти факты имеют целый ряд замечательных следствий.","Тогда йорданова algebra h2(K) скрытым образом is также спиновым множителем! there exists isomorphism φ: h2(K) →J(K ⊕R) ∼= K ⊕R ⊕R, заданный соотношением φ Ã α + β x x∗ α −β ! = (x, β, α), x ∈K, α, β ∈R. (6) Более того, определитель матриц из h2(K) хорошо определён даже тогда, когда K не коммутативна или не ассоциативна: det Ã α + β x x∗ α −β ! = α2 −β2 −∥x∥2, и мы, очевидно, имеем det(a) = −φ(a) · φ(a) for all a ∈h2(K). Эти факты имеют целый ряд замечательных следствий.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0022 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм,ISOMORPH,elibrary_13294250_28611886.txt
"Мы, таким образом, получили весьма изящный инструментарий для работы с OP2. Если мы используем изоморфизм между h3(O) и дуальной к ней алгеброй для переинтерпретации кросс-произведения в качестве отображения ×: h3(O) × h3(O) →h3(O), тогда не только прямая, проходящая через разные точки [p] и [q], задаётся соотношением [p×q], но также точка, в которой две разные прямые [ℓ] и [m] пересекаются, задается посредством [ℓ× m]. Тройка точек [p], [q] и [r] лежит на одной прямой (коллинеарна), если и только если (p, q, r) = 0, и тройка прямых [ℓ], [m], [n] пересекается в точке, если и только если (ℓ, m, n) = 0.","Мы, таким образом, получили весьма изящный инструментарий для работы с OP2. if мы используем isomorphism между h3(O) и дуальной к ней алгеброй для переинтерпретации кросс-произведения в качестве отображения ×: h3(O) × h3(O) →h3(O), тогда не только прямая, проходящая через разные точки [p] и [q], задаётся соотношением [p×q], но также точка, в которой две разные прямые [ℓ] и [m] пересекаются, задается посредством [ℓ× m]. Тройка точек [p], [q] и [r] лежит на одной прямой (коллинеарна), if и только if (p, q, r) = 0, и тройка прямых [ℓ], [m], [n] пересекается в точке, if и только if (ℓ, m, n) = 0.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0023 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм,ISOMORPH,elibrary_13294250_28611886.txt
