id,statement,predicted_type,annotator_1,annotator_2
25,"Поскольку каждая такая линия содержит единственный ненулевой элемент, можно также думать о плоскости Фано, как состоящей из семи ненулевых элементов Z3 2. Если начало координат в Z3 2 соответствует 1 ∈O, мы получим следующую картину октонионов: 1 e4 e3 e2 e5 e e6 e7 1 Заметим, что плоскости, проходящие через начало координат этого 3-мерного векторного пространства, дают подалгебры O, изоморфные кватернионам; линии, проходящие через начало координат, дают подалгебры, изоморфные комплексным числам, а само начало координат дает подалгебру, изоморфную действительным числам. Что в действительности мы имеем здесь – это описание октонионов как ""закрученной групповой алгебры"" (twisted group algebra).",ISOMORPH,,
26,"Отображение K 7→[K] есть изоморфизм булевых алгебр B(E) и P(E). Если же в E фиксирована порядковая единица , то отображения π 7→π из P(E) в E(E) и e 7→{e}⊥⊥из E(E) в B(E) также являются изоморфизмами булевых алгебр. Ввиду этого утверждения каждую из булевых алгебр E(E) и P(E) также принято называть базой E.",ISOMORPH,,
27,"Такеути, см. [57], а также библиографию в [23]. Понятно, что R↓изоморфно C∞(Q) или Bor(Q), если B — булева алгебра открыто замкнутых множество или же булева алгебре борелевских подмножеств Q по модулю множеств первой категории соответственно (см. Объект R↓для общих булевых алгебр рассмотрел также Т.",ISOMORPH,,
28,"Таким образом, [[ · = · ]], [[ · ∈· ]] : X × X →B, причем употребляют более привычные обозначения [[ x = y ]]:= [[ = (x, y) ]], [[ x ∈y ]]:= [[ ∈(x, y) ]] (x, y ∈X). Можно показать (см. [23, теорема 6.1.11]), что если к определению B-системы добавить некоторые естественные требования (технического характера), то существует единственная (с точностью до изоморфизма) B-система X := (X, [[ · = · ]], [[ · ∈· ]]), в которой справедливы все аксиомы (а значит и все теоремы) теории множеств ZFC, т. е. такие, что X |= ZFC. Такую B-систему называют булевозначной моделью теории множеств и обозначают символом V(B) := (V(B), [[ · = · ]], [[ · ∈· ]]).",ISOMORPH,,
29,"Обозначим через LA обогащение языка L новыми константными символами {ca | a ∈A}. Мы называем алгебраическую систему C языка LA A-системой, если подсистема в C, состоящая из выбранных элементов для констант ca, a ∈A, канонически изоморфна A. Пусть A и C — алгебраические системы языка L, причем A н¨етерова по уравнениям, а C — конечно порожденная Aсистема.",ISOMORPH,,
30,"Нетрудно проверить, что группа G изоморфна подгруппе UT3(Q[t]), порожденной четырьмя матрицами: A =   1 1 0 0 1 0 0 0 1  , B =   1 t 0 0 1 0 0 0 1  , C =   1 0 0 0 1 1 0 0 1  , D =   1 0 0 0 1 t 0 0 1  , при отображении x →A, y →B, z →C, t →D. В силу единственности расширения централизатора (предложение 3) если G есть подгруппа итерированного расширения централизаторов для группы FQ(2), то существует цепочка из двух расширений FQ(2) для элементов x и z и G изоморфна группе H0 = ⟨FQ(2) | [x, s1] = 1, [z, s2] = 1⟩. Но это не так, ибо dimQ(G′) = 3, а dimQ(H′ 0) = 4.",ISOMORPH,,
31,"Значит, Λ1 ⊗b1 ⊆I, что в силу произвольности b1 влечёт I = Λ(A). Известно, что C(Λ ⊗A) изоморфен Λ, [20, лемма 4.2]. При этом C(Λ(A)) вкладывается в C(Λ ⊗A), т. к. Λ ⊗A = (Λ ⊗1)Λ(A), тогда C(Λ(A)) = Λ0.",ISOMORPH,,
32,"Предположим, что Λ(B(f)) — свободный Z(Λ(B(f)))-модуль. Поскольку dim B(f) = 2m и Λ1 — модуль ранга 1, то Λ(B(f)) ∼= Λ2m 0 — изоморфизм Λ0-модулей. Следовательно, Λ2m 0 ∼= Λ(B(f)) ∼= Λ0 ⊕Λ1 ⊗B1 ∼= Λ0 ⊕Λ2(m−1) 0 ⊕Λ1 ∼= Λ2m−1 0 ⊕Λ1.",ISOMORPH,,
33,"Напомним, что для произвольной алгебры A её ассоциативный центр N(A), коммутативный центр K(A), центр Z(A) и центроид C(A) определяются следующим образом: N(A) = {n ∈A | (n, a, b) = (a, n, b) = (a, b, n) = 0 для любых a, b ∈A}, K(A) = {k ∈A | ka = ak для любого a ∈A}, Z(A) = N(A) ∩K(A), C(A) = {φ : A 7→A | φ линейно и φ(ab) = φ(a)b = aφ(b) для всех a, b ∈A}, здесь (x, y, z) = (xy)z −x(yz) — ассоциатор от x, y, z. Хорошо известно: если A — алгебра с единицей, то Z(A) изоморфен C(A) (в ассоциативном случае это доказано в [19, гл. 2], однако, в упомянутом доказательстве ассоциативность не используется).",ISOMORPH,,
34,"Ясно, что множество D = {D1 ⊗id, . . . , Dn ⊗id} состоит из дифференцирований Sph-оболочки алгебры A, где отображение Di ⊗id : Sph(A) 7→Sph(A) определяется правилом (Di ⊗id)  X k d(k) 0 ⊗a(k) 0 + X j d(j) 1 ⊗a(j) 1  = = X k Di(d(k) 0 ) ⊗a(k) 0 + X j Di(d(j) 1 ) ⊗a(j) 1 , здесь d(k) s ∈Sph(n)s, a(k) s ∈As, s ∈{0, 1}. Напомним, что для произвольной алгебры A её ассоциативный центр N(A), коммутативный центр K(A), центр Z(A) и центроид C(A) определяются следующим образом: N(A) = {n ∈A | (n, a, b) = (a, n, b) = (a, b, n) = 0 для любых a, b ∈A}, K(A) = {k ∈A | ka = ak для любого a ∈A}, Z(A) = N(A) ∩K(A), C(A) = {φ : A 7→A | φ линейно и φ(ab) = φ(a)b = aφ(b) для всех a, b ∈A}, здесь (x, y, z) = (xy)z −x(yz) — ассоциатор от x, y, z. Хорошо известно: если A — алгебра с единицей, то Z(A) изоморфен C(A) (в ассоциативном случае это доказано в [19, гл.",ISOMORPH,,
35,"2014. №2 (iv) для любого плотного правого идеала J кольца R и для всякого гомоморфизма f : JR →RR найдется такой элемент q ∈Q(R), что f(x) = qx для любого x ∈J. Более того, условия (i)—(iv) задают кольцо Q(R) с точностью до изоморфизма [3, предложение 2.1.7]. Кольцо Q(R), удовлетворяющее условиям (i)—(iv), называется полным правым кольцом частных кольца R.",ISOMORPH,,
36,"13 ВМУ, математика, механика, №2 26 вестн. моск. ун-та. сер.1, математика. механика. 2014. №2 (iv) для любого плотного правого идеала J кольца R и для всякого гомоморфизма f : JR →RR найдется такой элемент q ∈Q(R), что f(x) = qx для любого x ∈J. Более того, условия (i)—(iv) задают кольцо Q(R) с точностью до изоморфизма [3, предложение 2.1.7].",ISOMORPH,,
37,"Тогда End∗ Λ(VF ) изоморфна алгебре матриц F n×n с инволюцией, определённой по правилу A = (aij) 7→A∗, где A∗обозначает транспонированную матрицу от (a∗ ij). Семенова Элемент e ∗-кольца называется проекцией, если e = e2 = e∗. Отметим, что любая проекция совпадает со своим псевдообращением, а e = aa+ и f = a+a являются проекциями, если a+ является псевдообращением к a.",ISOMORPH,,
38,"Если A является дополнительно C∗- алгеброй, то она называется AW ∗-алгеброй (рикартовской C∗-алгеброй соответственно). Согласно [10, 14.22, 14.24] это определение AW ∗-алгебры эквивалентно определению, данному в [23]. Любая алгебра фон Ноймана является AW ∗-алгеброй.",ISOMORPH,,
39,"Теорема 28 даёт точное представление последней в некотором замкнутом подпространстве U ультрастепени ˆVˆC = V I C/U. (ii) Согласно теореме 16, Q(A) является гомоморфным образом подалгебры в ультрапроизведении Q k∈K End∗ Λ (Uk)ˆC /W, где dim Uk = nk < ω для всех k ∈K. Согласно предложениям 8 и 13(ii), алгебра эндоморфизмов End∗ Λ (Uk)ˆC изоморфна (Cnk×nk)I/U для любого k ∈K. Поскольку все перечисленные алгебраические конструкции сохраняют псевдообраще- 500 К.",ISOMORPH,,
40,"В этом случае левый аннигилятор множества X также порождается проекцией. Если A является дополнительно C∗- алгеброй, то она называется AW ∗-алгеброй (рикартовской C∗-алгеброй соответственно). Согласно [10, 14.22, 14.24] это определение AW ∗-алгебры эквивалентно определению, данному в [23].",ISOMORPH,,
41,"Согласно следствию 45, Q(A) ∼= R/≈D для некоторой алгебры обобщённых операторов (RVC; D). Теорема 28 даёт точное представление последней в некотором замкнутом подпространстве U ультрастепени ˆVˆC = V I C/U. (ii) Согласно теореме 16, Q(A) является гомоморфным образом подалгебры в ультрапроизведении Q k∈K End∗ Λ (Uk)ˆC /W, где dim Uk = nk < ω для всех k ∈K. Согласно предложениям 8 и 13(ii), алгебра эндоморфизмов End∗ Λ (Uk)ˆC изоморфна (Cnk×nk)I/U для любого k ∈K.",ISOMORPH,,
42,"Первое утверждение теперь следует из того, что все gr-инъективные оболочки модуля X изоморфны. Структура gr-инъективных модулей Определение 22. Пусть R — градуированное кольцо, X — левый Re-модуль.",ISOMORPH,,
43,"Таким образом, для полупервичных правых колец Голди R справедливо также равенство Qcl(R) = Q(R). Существует и другой подход, при котором сразу исследуются максимальные правые кольца частных. Сначала укажем эквивалентную характеризацию полупервичных правых колец Голди.",ISOMORPH,,
44,"Тогда f(Y ) = 0, и по лемме 7 Y — gr-рациональное расширение X. Первое утверждение теперь следует из того, что все gr-инъективные оболочки модуля X изоморфны. Структура gr-инъективных модулей Определение 22.",ISOMORPH,,
45,"Другими словами, градуированный R-модуль gr-инъективен, если он инъективен как объект категории gr.mod-R. Ясно, что если в определении 19 все гомоморфизмы считать сдвигающими градуировку, то получится эквивалентное определение. Градуированный R-модуль XR gr-инъективен тогда и только тогда, когда функтор HOMR(−, X) точен.",ISOMORPH,,
46,"Тогда существует изоморфизм градуированных колец S и Qgr, тождественный на R тогда и только тогда, когда выполнены следующие условия: 1) S — градуированное правое кольцо частных кольца R; 2) для любых D ∈Dgr r , g ∈G, f ∈ HOMR(D, R) g найдётся элемент s ∈Sg, такой что для любых d ∈h(D) справедливо f(d) = sd. HOMR(A, I) = HOMQgr(A, I) для любого градуированного модуля AQgr; в частности, ENDQgr(I) = H и ENDR(Qgr) = ENDQgr(Qgr) ∼= Qgr. IQgr — gr-инъективная оболочка модуля Qgr Qgr.",ISOMORPH,,
47,"Особого внимания заслуживает случай градуировки по упорядоченной группе, при котором многие свойства градуированного кольца оказываются эквивалентными их градуированным аналогам. Группа G называется упорядоченной, если на ней введён линейный порядок ⩽, такой что a ⩽b =⇒ac ⩽bc и ca ⩽cb при всех a, b, c ∈G. Заметим, что в первых работах по градуированным кольцам рассматривалась градуировка только по группе Z целых чисел с обычным порядком.",ISOMORPH,,
48,"Для доказательства gr-самоинъективности кольца Cgr согласно теореме 8 достаточно показать, что существует однородный элемент c ∈Cgr, для которого ϕ(x) = cx для всех x ∈K. Михал¨ев В силу gr-регулярности кольца Cgr все градуированные левые Cgr-модули являются gr-плоскими, т. е. плоскими (предложение 5). Тогда из [17, предложение 1] следует, что имеет место канонический изоморфизм f : Qgr ⊗Cgr K →QgrK, задаваемый правилом f n i=1 qi ⊗ki = n i=1 qiki (qi ∈Qgr, ki ∈K).",ISOMORPH,,
49,"Михал¨ев В силу gr-регулярности кольца Cgr все градуированные левые Cgr-модули являются gr-плоскими, т. е. плоскими (предложение 5). Тогда из [17, предложение 1] следует, что имеет место канонический изоморфизм f : Qgr ⊗Cgr K →QgrK, задаваемый правилом f n i=1 qi ⊗ki = n i=1 qiki (qi ∈Qgr, ki ∈K). Следовательно, найдётся градуированный морфизм ψ, для которого коммутативна следующая диаграмма: Qgr ⊗Cgr K 1⊗ϕ −−−−→Qgr ⊗Cgr Cgr f  h  QgrK ψ −−−−→ Qgr .",ISOMORPH,,
50,"Полная gr-приводимость В классической теории колец детально изучены вполне приводимые кольца, т. е. кольца, в которых каждый односторонний идеал выделяется прямым слагаемым. Строение и эквивалентные характеристики таких колец даёт теорема Молина—Веддербёрна—Артина, согласно которой вполне приводимые кольца изоморфны конечным прямым произведениям колец матриц над телами. В теории градуированных колец получены аналоги этой теоремы (см. ниже).",ISOMORPH,,
